padd,refinery,unit,series_label,dataset_id,date,value,frequency,aspect,aspect_subtype,category,category_subtype,country,country_iso,forecast_start_date,lifecycle_stage,release_date,source,sub_region,asset_id
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-01-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-02-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-03-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-04-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-05-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-06-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-07-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-08-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-09-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-10-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-11-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2023-12-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-01-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-02-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-03-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-04-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-05-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-06-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-07-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-08-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-09-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-10-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-11-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
