refinery_id,unit_id,as_of,offline_frac,events,event_types
AMERICAN_BRADFORD,REF,2026-07-14,1.0,811242,Unplanned
MONROE_TRAINER,ALKY,2026-07-14,1.0,823354,Unplanned
MONROE_TRAINER,CDU,2026-07-14,0.25,823548;823550,Unplanned
MONROE_TRAINER,FCC,2026-07-14,1.0,823351,Unplanned
PAR_EWA_BEACH,CDU,2026-07-14,1.0,553637;553638;601809,Planned
PAR_EWA_BEACH,DHCU,2026-07-14,1.0,553640,Planned
PAR_EWA_BEACH,REF,2026-07-14,1.0,553641,Planned
PAR_EWA_BEACH,VDU,2026-07-14,1.0,553643,Planned
PBF_CHALMETTE,CCR,2026-07-14,1.0,817564,Unplanned
VALERO_CORPUS_CHRISTI,CDU,2026-07-14,1.0,733489,Planned
VALERO_CORPUS_CHRISTI,VDU,2026-07-14,1.0,819090,Planned
