refinery_id,unit_id,nameplate_kbd,effective_kbd,effective_year,eff_vs_nameplate
ALON_BIG_SPRINGS,ALKY,5.0,5.92,2023,1.184
ALON_BIG_SPRINGS,CCR,21.5,21.0,2024,0.9767
ALON_BIG_SPRINGS,CDU,74.0,71.97,2019,0.9726
ALON_BIG_SPRINGS,FCC,23.5,22.77,2019,0.9689
ALON_BIG_SPRINGS,NHT,25.5,25.14,2024,0.9859
ALON_BIG_SPRINGS,VDU,28.0,21.73,2019,0.7761
BIG_NORTH_SLATERVILLE_CANAL,ALKY,3.1,2.54,2021,0.8194
BIG_NORTH_SLATERVILLE_CANAL,CDU,33.0,29.99,2018,0.9088
BIG_NORTH_SLATERVILLE_CANAL,FCC,12.5,11.34,2021,0.9072
BIG_NORTH_SLATERVILLE_CANAL,ISOM,3.0,1.95,2018,0.65
BIG_NORTH_SLATERVILLE_CANAL,NHT,11.8,10.31,2018,0.8737
BP_FERNDALE,CCR,65.0,57.28,2024,0.8812
BP_FERNDALE,CDU,251.0,234.11,2024,0.9327
BP_FERNDALE,COKER,61.5,41.3,2017,0.6715
BP_FERNDALE,DHCU,65.0,64.9,2024,0.9985
BP_FERNDALE,ISOM,26.0,21.46,2024,0.8254
BP_FERNDALE,NHT,100.5,61.09,2024,0.6079
BP_FERNDALE,VDU,139.0,95.93,2024,0.6901
BP_WHITING,ALKY,32.0,38.5,2023,1.2031
BP_WHITING,CDU,440.0,426.8,2023,0.97
BP_WHITING,COKER,102.0,86.65,2017,0.8495
BP_WHITING,FCC,177.0,156.64,2023,0.885
BP_WHITING,ISOM,30.0,30.0,2024,1.0
BP_WHITING,NHT,122.7,87.76,2023,0.7152
BP_WHITING,REF,67.0,61.97,2017,0.9249
BP_WHITING,VDU,276.2,203.71,2023,0.7375
CALUMET_SHREVEPORT,CDU,60.0,48.65,2017,0.8108
CALUMET_SHREVEPORT,NHT,16.0,18.29,2022,1.1431
CALUMET_SHREVEPORT,VDU,28.0,15.75,2017,0.5625
CENOVUS_LIMA,CDU,185.0,172.2,2017,0.9308
CENOVUS_LIMA,COKER,23.0,22.7,2018,0.987
CENOVUS_LIMA,DHCU,26.0,26.0,2024,1.0
CENOVUS_LIMA,FCC,45.3,39.44,2018,0.8706
CENOVUS_LIMA,ISOM,18.7,16.6,2024,0.8877
CENOVUS_LIMA,NHT,63.0,62.54,2023,0.9927
CENOVUS_LIMA,REF,55.0,39.71,2019,0.722
CENOVUS_LIMA,VDU,57.0,57.93,2018,1.0163
CENOVUS_TOLEDO,ALKY,11.5,11.95,2021,1.0391
CENOVUS_TOLEDO,CCR,42.0,41.41,2018,0.986
CENOVUS_TOLEDO,CDU,160.0,153.2,2018,0.9575
CENOVUS_TOLEDO,COKER,36.0,26.45,2017,0.7347
CENOVUS_TOLEDO,DHCU,31.8,30.69,2021,0.9651
CENOVUS_TOLEDO,FCC,55.0,41.32,2018,0.7513
CENOVUS_TOLEDO,NHT,42.0,46.1,2024,1.0976
CENOVUS_TOLEDO,VDU,72.5,69.97,2017,0.9651
CENOVUS_WOOD_RIVER,ALKY,21.8,25.06,2023,1.1495
CENOVUS_WOOD_RIVER,CCR,79.7,65.25,2019,0.8187
CENOVUS_WOOD_RIVER,CDU,367.5,367.5,2024,1.0
CENOVUS_WOOD_RIVER,COKER,83.7,73.98,2023,0.8839
CENOVUS_WOOD_RIVER,DHCU,57.2,56.07,2024,0.9802
CENOVUS_WOOD_RIVER,FCC,101.0,95.4,2023,0.9446
CENOVUS_WOOD_RIVER,NHT,84.3,80.0,2024,0.949
CENOVUS_WOOD_RIVER,VDU,196.5,166.34,2023,0.8465
CHEVRON_EL_SEGUNDO,ALKY,33.3,21.52,2022,0.6462
CHEVRON_EL_SEGUNDO,CCR,49.0,45.8,2018,0.9347
CHEVRON_EL_SEGUNDO,CDU,290.5,273.07,2018,0.94
CHEVRON_EL_SEGUNDO,COKER,76.7,59.61,2017,0.7772
CHEVRON_EL_SEGUNDO,DHCU,55.0,51.87,2018,0.9431
CHEVRON_EL_SEGUNDO,FCC,73.8,73.06,2022,0.99
CHEVRON_EL_SEGUNDO,ISOM,22.3,14.06,2024,0.6305
CHEVRON_EL_SEGUNDO,NHT,62.5,54.95,2018,0.8792
CHEVRON_EL_SEGUNDO,VDU,169.1,145.08,2018,0.858
CHEVRON_PASADENA,ALKY,12.5,10.0,2019,0.8
CHEVRON_PASADENA,CCR,23.0,22.24,2019,0.967
CHEVRON_PASADENA,CDU,125.0,106.26,2017,0.8501
CHEVRON_PASADENA,FCC,52.0,49.35,2018,0.949
CHEVRON_PASADENA,NHT,23.0,26.69,2018,1.1604
CHEVRON_PASADENA,VDU,38.0,27.81,2017,0.7318
CHEVRON_PASCAGOULA,ALKY,21.5,19.93,2024,0.927
CHEVRON_PASCAGOULA,CCR,61.6,61.6,2018,1.0
CHEVRON_PASCAGOULA,CDU,375.2,358.0,2019,0.9542
