refinery_id,rem_name,year,feedstock,to_unit,kbd,vol_pct,api,api_type,sulfur_wt_pct,sulfur_type
MARATHON_ANACORTES,Anacortes Marathon,2024,Butane,NC4Imports,1.01,0.857,112.47,Light,,High
MARATHON_ANACORTES,Anacortes Marathon,2024,VGO - Low Sulphur,FCC,8.0,6.789,27.19,Heavy,0.50,Medium
MARATHON_ANACORTES,Anacortes Marathon,2023,VGO - Low Sulphur,FCC,8.0,7.167,27.19,Heavy,0.50,Medium
MARATHON_ANACORTES,Anacortes Marathon,2022,VGO - Low Sulphur,FCC,8.0,6.678,27.19,Heavy,0.50,Medium
MARATHON_ANACORTES,Anacortes Marathon,2022,Butane,NC4Imports,1.0,0.838,112.47,Light,,High
MARATHON_ANACORTES,Anacortes Marathon,2021,VGO - Low Sulphur,FCC,15.0,12.91,27.19,Heavy,0.50,Medium
MARATHON_ANACORTES,Anacortes Marathon,2023,Butane,NC4Imports,0.07,0.061,112.47,Light,,High
PAR_BILLINGS,Billings Par,2017,I-Butane,IC4Imports,1.18,1.94,120.01,Light,,High
PAR_BILLINGS,Billings Par,2024,I-Butane,IC4imports,1.09,2.142,120.01,Light,,High
PAR_BILLINGS,Billings Par,2018,I-Butane,IC4Imports,1.26,2.182,120.01,Light,,High
PAR_BILLINGS,Billings Par,2019,I-Butane,IC4Imports,1.03,1.87,120.01,Light,,High
PAR_BILLINGS,Billings Par,2020,I-Butane,IC4imports,0.98,1.891,120.01,Light,,High
PAR_BILLINGS,Billings Par,2021,I-Butane,IC4imports,1.38,2.406,120.01,Light,,High
PAR_BILLINGS,Billings Par,2022,I-Butane,IC4imports,0.92,1.82,120.01,Light,,High
PAR_BILLINGS,Billings Par,2023,I-Butane,IC4imports,1.39,2.401,120.01,Light,,High
MARATHON_CATLETTSBURG,Catlettsburg,2023,I-Butane,IC4Imports,6.18,1.962,120.01,Light,,High
MARATHON_CATLETTSBURG,Catlettsburg,2024,I-Butane,IC4Imports,6.92,2.278,120.01,Light,,High
MARATHON_CATLETTSBURG,Catlettsburg,2017,I-Butane,IC4Imports,7.98,2.947,120.01,Light,,High
MARATHON_CATLETTSBURG,Catlettsburg,2017,VGO - Low Sulphur,CFHT,18.0,6.648,15.41,Heavy,0.50,Medium
MARATHON_CATLETTSBURG,Catlettsburg,2018,I-Butane,IC4Imports,6.23,2.09,120.01,Light,,High
MARATHON_CATLETTSBURG,Catlettsburg,2018,VGO - Low Sulphur,CFHT,24.5,8.214,15.41,Heavy,0.50,Medium
MARATHON_CATLETTSBURG,Catlettsburg,2019,I-Butane,IC4Imports,6.62,2.177,120.01,Light,,High
