refinery_id,name,owner,city,state,padd,region,crude_capacity_kbd,status,notes
MOTIVA_PAR,Motiva Port Arthur,Saudi Aramco,Port Arthur,TX,3,US,639.7,operating,capacity: EA nameplate 2026-07
XOM_BAYTOWN,ExxonMobil Baytown,ExxonMobil,Baytown,TX,3,US,580.2,operating,capacity: EA nameplate 2026-07
MPC_GALV_BAY,Galveston Bay Refinery,Marathon Petroleum,Texas City,TX,3,US,665,operating,capacity: EA nameplate 2026-07
PBF_DELAWARE_CITY,PBF Energy Company LLC Delaware City,PBF Energy Company LLC,Delaware City,Delaware,1,US,180,operating,capacity: EA nameplate 2026-07
PHILLIPS_LINDEN,Phillips 66 Co. Linden,Phillips 66 Co.,Linden,New Jersey,1,US,258,operating,capacity: EA nameplate 2026-07
PBF_PAULSBORO,PBF Energy Company LLC Paulsboro,PBF Energy Company LLC,Paulsboro,New Jersey,1,US,100,operating,capacity: EA nameplate 2026-07
AMERICAN_BRADFORD,American Refining Group Bradford,American Refining Group,Bradford,Pennsylvania,1,US,11.8,operating,capacity: EA nameplate 2026-07
MONROE_TRAINER,Monroe Energy Trainer,Delta Airlines,Trainer,Pennsylvania,1,US,185,operating,capacity: EA nameplate 2026-07
UNITED_WARREN,United Refining Warren,United Refining,Warren,Pennsylvania,1,US,70,operating,capacity: EA nameplate 2026-07
ERGON_NEWELL,Ergon Newell,Ergon,Newell,West Virginia,1,US,22.3,operating,capacity: EA nameplate 2026-07
EXXONMOBIL_JOLIET,ExxonMobil Joliet,ExxonMobil,Joliet,Illinois,2,US,252,operating,capacity: EA nameplate 2026-07
CITGO_LEMONT,Citgo Lemont,PDVSA,Lemont,Illinois,2,US,194.12,operating,capacity: EA nameplate 2026-07
MARATHON_ROBINSON,Marathon Petroleum Robinson,Marathon Petroleum,Robinson,Illinois,2,US,278,operating,capacity: EA nameplate 2026-07
CENOVUS_WOOD_RIVER,Cenovus Wood River,Cenovus (50%) / Phillips 66 Co. (50%),Wood River,Illinois,2,US,356,operating,capacity: EA nameplate 2026-07
COUNTRYMARK_MOUNT_VERNON,Countrymark Cooperative Inc. Mount Vernon,Countrymark Cooperative Inc.,Mount Vernon,Indiana,2,US,30.8,operating,capacity: EA nameplate 2026-07
BP_WHITING,BP Whiting,BP,Whiting,Indiana,2,US,435,operating,capacity: EA nameplate 2026-07
CVR_COFFEYVILLE,CVR Energy Coffeyville,Icahn Enterprises (80%) / Other Investors (20%),Coffeyville,Kansas,2,US,132,operating,capacity: EA nameplate 2026-07
HF_EL_DORADO_KS,HF Sinclair El Dorado (KS),HF Sinclair,El Dorado (KS),Kansas,2,US,135,operating,capacity: EA nameplate 2026-07
NCRA_MCPHERSON,NCRA McPherson,CHS,McPherson,Kansas,2,US,117.1,operating,capacity: EA nameplate 2026-07
MARATHON_CATLETTSBURG,Marathon Petroleum Catlettsburg,Marathon Petroleum,Catlettsburg,Kentucky,2,US,316,operating,capacity: EA nameplate 2026-07
SOMERSET_SOMERSET,Somerset Refinery Somerset,Continental Refining Company,Somerset,Kentucky,2,US,0,shut,capacity: EA nameplate 2026-07
MARATHON_DETROIT,Marathon Petroleum Detroit,Marathon Petroleum,Detroit,Michigan,2,US,140,operating,capacity: EA nameplate 2026-07
FLINT_ROSEMOUNT,Flint Hills Resources Rosemount,Koch Industries,Rosemount,Minnesota,2,US,375,operating,capacity: EA nameplate 2026-07
MARATHON_SAINT_PAUL_PARK,Marathon Petroleum Saint Paul Park,Marathon Petroleum,Saint Paul Park,Minnesota,2,US,111,operating,capacity: EA nameplate 2026-07
MARATHON_MANDAN,Marathon Petroleum Mandan,Marathon Petroleum,Mandan,North Dakota,2,US,75.5,operating,capacity: EA nameplate 2026-07
MARATHON_CANTON,Marathon Petroleum Canton,Marathon Petroleum,Canton,Ohio,2,US,100,operating,capacity: EA nameplate 2026-07
CENOVUS_LIMA,Cenovus Lima,Cenovus,Lima,Ohio,2,US,185,operating,capacity: EA nameplate 2026-07
CENOVUS_TOLEDO,Cenovus Toledo,Cenovus,Toledo,Ohio,2,US,160,operating,capacity: EA nameplate 2026-07
PBF_TOLEDO,PBF Energy Company LLC Toledo,PBF Energy Company LLC,Toledo,Ohio,2,US,180,operating,capacity: EA nameplate 2026-07
VALERO_ARDMORE,Valero Ardmore,Valero,Ardmore,Oklahoma,2,US,86,operating,capacity: EA nameplate 2026-07
PHILLIPS_PONCA_CITY,Phillips 66 Co. Ponca City,Phillips 66 Co.,Ponca City,Oklahoma,2,US,225,operating,capacity: EA nameplate 2026-07
HF_TULSA,HF Sinclair Tulsa,HF Sinclair,Tulsa,Oklahoma,2,US,125,operating,capacity: EA nameplate 2026-07
CVR_WYNNEWOOD,CVR Energy Wynnewood,Icahn Enterprises (80%) / Other Investors (20%),Wynnewood,Oklahoma,2,US,75,operating,capacity: EA nameplate 2026-07
