refinery_id,rem_name,product,grade,sub_region,yield_pct_2021
,Alliance,LPG,Standard,PADD III,3.57
MARATHON_ANACORTES,Anacortes Marathon,LPG,Standard,PADD V,2.42
VALERO_ARDMORE,Ardmore,LPG,Standard,PADD II,1.77
EXXONMOBIL_BATON_ROUGE,Baton Rouge,LPG,Standard,PADD III,8.18
XOM_BAYTOWN,Baytown,LPG,Standard,PADD III,7.43
PHILLIPS_LINDEN,Bayway,LPG,Standard,PADD I,6.65
EXXONMOBIL_BEAUMONT,Beaumont,LPG,Standard,PADD III,5.20
VALERO_BENICIA,Benicia,LPG,Standard,PADD V,4.13
ALON_BIG_SPRINGS,Big Spring,LPG,Standard,PADD III,2.55
PHILLIPS_BILLINGS,Billings P66,LPG,Standard,PADD IV,4.11
PAR_BILLINGS,Billings Par,LPG,Standard,PADD IV,3.41
WRB_BORGER,Borger,LPG,Standard,PADD III,4.58
MARATHON_CANTON,Canton,LPG,Standard,PADD II,0.90
MARATHON_CATLETTSBURG,Catlettsburg,LPG,Standard,PADD II,1.28
PBF_CHALMETTE,Chalmette,LPG,Standard,PADD III,5.19
BP_FERNDALE,Cherry Point,LPG,Standard,PADD V,2.55
CVR_COFFEYVILLE,Coffeyville,LPG,Standard,PADD II,3.43
SUNCOR_DENVER,Commerce City,LPG,Standard,PADD IV,6.38
CITGO_CORPUS_CHRISTI,Corpus Christi Citgo,LPG,Standard,PADD III,2.14
FLINT_CORPUS_CHRISTI,Corpus Christi Flint Hills,LPG,Standard,PADD III,2.81
VALERO_CORPUS_CHRISTI,Corpus Christi Valero,LPG,Standard,PADD III,3.39
PEMEX_DEER_PARK,Deer Park,LPG,Standard,PADD III,4.63
MARATHON_DETROIT,Detroit,LPG,Standard,PADD II,1.02
,East Coast Refining System PBF (Delaware and Paulsboro),LPG,Standard,PADD I,5.08
HF_EL_DORADO_KS,El Dorado Frontier,LPG,Standard,PADD II,1.69
DELEK_EL_DORADO_AR,El Dorado Lion Oil,LPG,Standard,PADD III,1.42
MARATHON_EL_PASO,El Paso,LPG,Standard,PADD III,1.77
CHEVRON_EL_SEGUNDO,El Segundo,LPG,Standard,PADD V,3.36
PHILLIPS_FERNDALE,Ferndale P66,LPG,Standard,PADD V,3.23
MPC_GALV_BAY,Galveston Bay,LPG,Standard,PADD III,5.23
MARATHON_GARYVILLE,Garyville,LPG,Standard,PADD III,1.72
LYONDELLBASELL_HOUSTON,Houston Lyondell,LPG,Standard,PADD III,4.12
VALERO_HOUSTON,Houston Valero,LPG,Standard,PADD III,1.15
EXXONMOBIL_JOLIET,Joliet,LPG,Standard,PADD II,5.75
PAR_EWA_BEACH,Kapolei Par,LPG,Standard,PADD V,1.74
MARATHON_NIKISKI,Kenai,LPG,Standard,PADD V,2.41
DELEK_KROTZ_SPRINGS,Krotz Springs,LPG,Standard,PADD III,4.17
CITGO_LAKE_CHARLES,Lake Charles Citgo,LPG,Standard,PADD III,3.50
PHILLIPS_WESTLAKE,Lake Charles P66,LPG,Standard,PADD III,2.11
CHS_LAUREL,Laurel,LPG,Standard,PADD IV,1.81
CITGO_LEMONT,Lemont,LPG,Standard,PADD II,3.66
CENOVUS_LIMA,Lima,LPG,Standard,PADD II,7.32
,Los Angeles Marathon,LPG,Standard,PADD V,3.36
PHILLIPS_LOS_ANGELES,Los Angeles P66,LPG,Standard,PADD V,6.25
MARATHON_MANDAN,Mandan,LPG,Standard,PADD II,2.21
PBF_MARTINEZ,Martinez PBF,LPG,Standard,PADD V,3.82
VALERO_SUNRAY,McKee,LPG,Standard,PADD III,3.03
NCRA_MCPHERSON,McPherson,LPG,Standard,PADD II,1.96
VALERO_MEMPHIS,Memphis,LPG,Standard,PADD II,1.17
VALERO_MERAUX,Meraux,LPG,Standard,PADD III,0.36
HF_ARTESIA,Navajo (Artesia),LPG,Standard,PADD III,2.44
SHELL_NORCO,Norco,LPG,Standard,PADD III,4.19
CHEVRON_PASADENA,Pasadena,LPG,Standard,PADD III,2.47
CHEVRON_PASCAGOULA,Pascagoula,LPG,Standard,PADD III,2.80
FLINT_ROSEMOUNT,Pine Bend,LPG,Standard,PADD II,3.33
PHILLIPS_PONCA_CITY,Ponca City,LPG,Standard,PADD II,2.66
PLACID_PORT_ALLEN,Port Allen,LPG,Standard,PADD III,3.27
MOTIVA_PAR,Port Arthur Motiva,LPG,Standard,PADD III,1.87
TOTAL_PORT_ARTHUR,Port Arthur Total,LPG,Standard,PADD III,6.16
VALERO_PORT_ARTHUR,Port Arthur Valero,LPG,Standard,PADD III,2.53
HF_ANACORTES,Puget Sound,LPG,Standard,PADD V,1.92
CHEVRON_RICHMOND,Richmond,LPG,Standard,PADD V,3.53
MARATHON_ROBINSON,Robinson,LPG,Standard,PADD II,2.17
BIG_NORTH_SLATERVILLE_CANAL,Salt Lake City BigWest,LPG,Standard,PADD IV,4.81
CHEVRON_SALT_LAKE_CITY,Salt Lake City Chevron,LPG,Standard,PADD IV,1.80
MARATHON_SALT_LAKE_CITY,Salt Lake City Marathon,LPG,Standard,PADD IV,1.97
,San Francisco (Rodeo and Santa Maria),LPG,Standard,PADD V,5.59
VERTEX_MOBILE,Saraland,LPG,Standard,PADD III,1.47
CALUMET_SHREVEPORT,Shreveport,LPG,Standard,PADD III,1.49
SINCLAIR_SINCLAIR,Sinclair,LPG,Standard,PADD IV,2.12
VALERO_SAINT_CHARLES,St. Charles,LPG,Standard,PADD III,4.33
MARATHON_SAINT_PAUL_PARK,St. Paul Park,LPG,Standard,PADD II,1.68
