refinery_id,padd,state,city,operator,owners,gasoil_diesel_pct,gasoline_pct,hfo_pct,kero_jet_pct,lpg_pct,naphtha_pct,total_pct
PBF_DELAWARE_CITY,1,Delaware,Delaware City,PBF Energy Company LLC,PBF Energy Company LLC,28.8664,62.6601,0.6596,11.8778,2.7567,0.0,106.8205
PHILLIPS_LINDEN,1,New Jersey,Linden,Phillips 66 Co.,Phillips 66 Co.,32.0086,51.3787,0.1038,9.7992,2.4308,0.0,95.721
PBF_PAULSBORO,1,New Jersey,Paulsboro,PBF Energy Company LLC,PBF Energy Company LLC,37.3933,27.2644,2.4194,19.9112,0.9816,0.0,87.9698
AMERICAN_BRADFORD,1,Pennsylvania,Bradford,American Refining Group,American Refining Group,24.0976,36.8069,0.0,0.0,0.557,0.0,61.4615
MONROE_TRAINER,1,Pennsylvania,Trainer,Monroe Energy,Delta Airlines,19.063,57.2953,1.2446,19.6579,1.4049,0.0,98.6657
UNITED_WARREN,1,Pennsylvania,Warren,United Refining,United Refining,17.4032,45.0898,0.1753,0.0,0.0756,0.0,62.7437
ERGON_NEWELL,1,West Virginia,Newell,Ergon,Ergon,27.6305,34.0546,0.0,0.0,0.1903,0.0,61.8754
EXXONMOBIL_JOLIET,2,Illinois,Joliet,ExxonMobil,ExxonMobil,27.7571,57.1539,0.2654,6.6733,0.3918,0.1772,92.4187
CITGO_LEMONT,2,Illinois,Lemont,Citgo,PDVSA,29.9464,50.7616,0.081,13.0942,0.2889,0.595,94.7672
MARATHON_ROBINSON,2,Illinois,Robinson,Marathon Petroleum,Marathon Petroleum,39.5003,53.7607,1.0142,2.1377,0.5884,0.261,97.2624
CENOVUS_WOOD_RIVER,2,Illinois,Wood River,Cenovus,Cenovus (50%) / Phillips 66 Co. (50%),6.4308,36.1823,1.0296,3.4763,0.3792,0.1431,47.6413
