month,flow,kbd,source
2023-01,ADJFACT,0.0,Actual
2023-01,BALANCE,-67.0,Actual
2023-01,BLENDING,127.0,Actual
2023-01,CLOSTLV,42649.0,Actual
2023-01,IPTRANSF,-190.0,Actual
2023-01,PTRANSF,23.0,Actual
2023-01,RECEIPTS,340.0,Actual
2023-01,REFGROUT,266.0,Actual
2023-01,SPR,0.0,Actual
2023-01,STOCKCH,-67.0,Actual
2023-01,TOTDEMO,142.0,Actual
2023-01,TOTEXPSB,349.0,Actual
2023-01,TOTIMPSB,31.0,Actual
2023-02,ADJFACT,0.0,Actual
2023-02,BALANCE,-17.0,Actual
2023-02,BLENDING,199.0,Actual
2023-02,CLOSTLV,42186.0,Actual
2023-02,IPTRANSF,-189.0,Actual
2023-02,PTRANSF,23.0,Actual
2023-02,RECEIPTS,411.0,Actual
2023-02,REFGROUT,275.0,Actual
2023-02,SPR,0.0,Actual
2023-02,STOCKCH,-17.0,Actual
2023-02,TOTDEMO,113.0,Actual
2023-02,TOTEXPSB,416.0,Actual
2023-02,TOTIMPSB,38.0,Actual
2023-03,ADJFACT,0.0,Actual
2023-03,BALANCE,80.0,Actual
2023-03,BLENDING,229.0,Actual
2023-03,CLOSTLV,44661.0,Actual
2023-03,IPTRANSF,-172.0,Actual
2023-03,PTRANSF,23.0,Actual
2023-03,RECEIPTS,424.0,Actual
2023-03,REFGROUT,389.0,Actual
2023-03,SPR,0.0,Actual
2023-03,STOCKCH,80.0,Actual
2023-03,TOTDEMO,144.0,Actual
2023-03,TOTEXPSB,427.0,Actual
2023-03,TOTIMPSB,33.0,Actual
2023-04,ADJFACT,-2.0,Actual
2023-04,BALANCE,-8.0,Actual
2023-04,BLENDING,157.0,Actual
2023-04,CLOSTLV,44371.0,Actual
2023-04,IPTRANSF,-184.0,Actual
2023-04,PTRANSF,22.0,Actual
2023-04,RECEIPTS,363.0,Actual
2023-04,REFGROUT,372.0,Actual
2023-04,SPR,0.0,Actual
2023-04,STOCKCH,-10.0,Actual
2023-04,TOTDEMO,156.0,Actual
2023-04,TOTEXPSB,429.0,Actual
2023-04,TOTIMPSB,48.0,Actual
2023-05,ADJFACT,0.0,Actual
2023-05,BALANCE,-47.0,Actual
2023-05,BLENDING,249.0,Actual
2023-05,CLOSTLV,42924.0,Actual
2023-05,IPTRANSF,-202.0,Actual
2023-05,PTRANSF,24.0,Actual
2023-05,RECEIPTS,475.0,Actual
2023-05,REFGROUT,324.0,Actual
2023-05,SPR,0.0,Actual
2023-05,STOCKCH,-47.0,Actual
2023-05,TOTDEMO,157.0,Actual
2023-05,TOTEXPSB,497.0,Actual
